id|name|types|speed|hp|base_experience|attack|defense|weight
1|bulbasaur|grass,poison|45|45|64|49|49|69
2|ivysaur|grass,poison|60|60|142|62|63|130
3|venusaur|grass,poison|80|80|236|82|83|1000
4|charmander|fire|65|39|62|52|43|85
5|charmeleon|fire|80|58|142|64|58|190
6|charizard|fire,flying|100|78|240|84|78|905
7|squirtle|water|43|44|63|48|65|90
8|wartortle|water|58|59|142|63|80|225
9|blastoise|water|78|79|239|83|100|855
10|caterpie|bug|45|45|39|30|35|29
11|metapod|bug|30|50|72|20|55|99
12|butterfree|bug,flying|70|60|178|45|50|320
13|weedle|bug,poison|50|40|39|35|30|32
14|kakuna|bug,poison|35|45|72|25|50|100
15|beedrill|bug,poison|75|65|178|90|40|295
16|pidgey|normal,flying|56|40|50|45|40|18
17|pidgeotto|normal,flying|71|63|122|60|55|300
18|pidgeot|normal,flying|101|83|216|80|75|395
19|rattata|normal|72|30|51|56|35|35
20|raticate|normal|97|55|145|81|60|185
21|spearow|normal,flying|70|40|52|60|30|20
22|fearow|normal,flying|100|65|155|90|65|380
23|ekans|poison|55|35|58|60|44|69
24|arbok|poison|80|60|157|95|69|650
25|pikachu|electric|90|35|112|55|40|60
26|raichu|electric|110|60|218|90|55|300
27|sandshrew|ground|40|50|60|75|85|120
28|sandslash|ground|65|75|158|100|110|295
29|nidoran-f|poison|41|55|55|47|52|70
30|nidorina|poison|56|70|128|62|67|200
31|nidoqueen|poison,ground|76|90|227|92|87|600
32|nidoran-m|poison|50|46|55|57|40|90
33|nidorino|poison|65|61|128|72|57|195
34|nidoking|poison,ground|85|81|227|102|77|620
35|clefairy|fairy|35|70|113|45|48|75
36|clefable|fairy|60|95|217|70|73|400
37|vulpix|fire|65|38|60|41|40|99
38|ninetales|fire|100|73|177|76|75|199
39|jigglypuff|normal,fairy|20|115|95|45|20|55
40|wigglytuff|normal,fairy|45|140|196|70|45|120
